store_nbr,item_nbr,family,total_demand,average_daily_demand,demand_std,max_daily_demand,active_sales_days,sales_frequency,demand_share,cumulative_demand_share,abc_class,safety_stock,reorder_point,coefficient_of_variation,replenishment_risk
44,1503844,PRODUCE,422551.761,716.19,242.7,1362.554,590,0.9966,0.0047,0.0047,A,1059.52,6072.85,0.3388765551040924,Medium Risk
49,1503844,PRODUCE,322705.126,546.96,142.32,971.224,590,0.9966,0.0036,0.0084,A,621.3,4450.01,0.2602018429135585,Medium Risk
44,1473474,PRODUCE,287958.26,488.06,136.68,982.696,590,0.9966,0.0032,0.0116,A,596.69,4013.15,0.28004753513912223,Medium Risk
44,1047679,BEVERAGES,273768.0,464.01,199.56,1561.0,590,0.9966,0.0031,0.0147,A,871.19,4119.29,0.43007693799702595,Medium Risk
45,1503844,PRODUCE,273478.79,463.52,136.38,880.959,590,0.9966,0.0031,0.0177,A,595.37,3840.03,0.29422678633068694,Medium Risk
44,1430040,BEVERAGES,251594.0,430.08,284.64,2846.0,585,0.9882,0.0028,0.0205,A,1242.6,4253.12,0.6618303571428571,Medium Risk
47,1503844,PRODUCE,207546.6,351.77,113.64,787.561,590,0.9966,0.0023,0.0229,A,496.07,2958.49,0.3230519942007562,Medium Risk
45,1473474,PRODUCE,203113.905,344.26,99.74,605.599,590,0.9966,0.0023,0.0251,A,435.41,2845.23,0.2897228838668448,Medium Risk
45,1463993,BEVERAGES,182748.0,310.27,117.6,804.0,589,0.9949,0.002,0.0272,A,513.37,2685.25,0.3790247204048087,Medium Risk
49,1473474,PRODUCE,179434.26,304.13,72.55,523.083,590,0.9966,0.002,0.0292,A,316.72,2445.6,0.23854930457370202,Medium Risk
45,1463992,BEVERAGES,178074.0,301.82,111.55,793.0,590,0.9966,0.002,0.0312,A,486.96,2599.71,0.3695911470412829,Medium Risk
49,1642399,PRODUCE,172630.01,292.59,102.23,699.194,590,0.9966,0.0019,0.0331,A,446.3,2494.45,0.34939676680679455,Medium Risk
47,1642399,PRODUCE,165365.377,280.28,111.72,748.009,590,0.9966,0.0019,0.035,A,487.73,2449.7,0.39860139860139865,Medium Risk
47,1463993,BEVERAGES,152645.0,259.16,99.34,611.0,589,0.9949,0.0017,0.0367,A,433.66,2247.78,0.3833153264392653,Medium Risk
47,1473474,PRODUCE,150242.857,254.65,76.18,570.631,590,0.9966,0.0017,0.0384,A,332.58,2115.13,0.2991557039073238,Medium Risk
49,1695835,PRODUCE,149269.185,253.0,76.97,553.743,590,0.9966,0.0017,0.0401,A,336.0,2106.99,0.3042292490118577,Medium Risk
47,1463992,BEVERAGES,143340.0,242.95,95.99,567.0,590,0.9966,0.0016,0.0417,A,419.06,2119.7,0.3951018728133361,Medium Risk
44,1642399,PRODUCE,142109.048,242.92,97.35,685.167,585,0.9882,0.0016,0.0433,A,424.99,2125.44,0.4007492178494978,Medium Risk
47,1047679,BEVERAGES,135169.0,229.1,107.76,702.0,590,0.9966,0.0015,0.0448,A,470.42,2074.12,0.470362287210825,Medium Risk
44,2006812,BEVERAGES,125791.0,371.06,296.71,2970.0,339,0.5726,0.0014,0.0462,A,1295.27,3892.73,0.7996280924917802,Medium Risk
44,1502392,PRODUCE,120881.653,204.88,81.71,464.886,590,0.9966,0.0014,0.0475,A,356.69,1790.88,0.39881882077313546,Medium Risk
44,1695835,PRODUCE,119157.338,201.96,82.49,520.544,590,0.9966,0.0013,0.0489,A,360.09,1773.82,0.4084472172707466,Medium Risk
45,1686656,PRODUCE,118280.0,200.47,60.72,398.0,590,0.9966,0.0013,0.0502,A,265.09,1668.41,0.30288821270015465,Medium Risk
44,1463993,BEVERAGES,113862.0,193.31,81.59,513.0,589,0.9949,0.0013,0.0515,A,356.2,1709.4,0.42206818064249135,Medium Risk
45,1463810,BEVERAGES,112809.0,295.31,238.01,2217.0,382,0.6453,0.0013,0.0527,A,1039.05,3106.23,0.8059666113575564,Medium Risk
44,1473410,PRODUCE,110492.218,187.59,67.7,408.51,589,0.9949,0.0012,0.054,A,295.54,1608.7,0.36089343781651473,Medium Risk
47,1430040,BEVERAGES,106783.0,184.11,296.34,6932.0,580,0.9797,0.0012,0.0552,A,1293.66,2582.42,1.6095812286133286,High Risk
44,1503847,PRODUCE,104612.992,177.61,73.24,894.255,589,0.9949,0.0012,0.0563,A,319.75,1563.03,0.4123641686841957,Medium Risk
45,1926217,PRODUCE,102842.0,175.8,62.18,393.0,585,0.9882,0.0012,0.0575,A,271.46,1502.04,0.3536973833902161,Medium Risk
45,584028,MEATS,102403.192,173.56,62.32,505.5,590,0.9966,0.0011,0.0586,A,272.05,1487.01,0.35906890988707074,Medium Risk
44,1584575,PRODUCE,100658.0,170.61,86.5,511.0,590,0.9966,0.0011,0.0598,A,377.61,1571.85,0.5070042787644334,Medium Risk
44,1463992,BEVERAGES,99551.0,169.02,61.52,372.0,589,0.9949,0.0011,0.0609,A,268.58,1451.69,0.3639805940125429,Medium Risk
44,1473404,PRODUCE,98747.0,167.37,55.95,385.0,590,0.9966,0.0011,0.062,A,244.24,1415.81,0.3342892991575551,Medium Risk
47,1584575,PRODUCE,98509.0,166.96,92.86,595.0,590,0.9966,0.0011,0.0631,A,405.37,1574.12,0.5561811212266411,Medium Risk
45,364738,BEVERAGES,98317.0,166.64,109.46,680.0,590,0.9966,0.0011,0.0642,A,477.83,1644.3,0.6568650984157466,Medium Risk
47,364738,BEVERAGES,97773.0,165.72,196.68,2997.0,590,0.9966,0.0011,0.0653,A,858.59,2018.61,1.1868211440984795,High Risk
49,1333307,BREAD/BAKERY,97765.0,165.7,46.05,374.0,590,0.9966,0.0011,0.0664,A,201.02,1360.95,0.2779118889559445,Medium Risk
44,2042941,BEVERAGES,97541.0,433.52,246.71,1960.0,225,0.3801,0.0011,0.0675,A,1077.03,4111.64,0.5690856246539953,Medium Risk
47,903285,POULTRY,96520.477,165.27,84.89,493.899,584,0.9865,0.0011,0.0686,A,370.58,1527.5,0.5136443395655593,Medium Risk
44,1926217,PRODUCE,95715.0,164.18,57.34,350.0,583,0.9848,0.0011,0.0696,A,250.3,1399.53,0.34925082226824217,Medium Risk
49,1502392,PRODUCE,95008.663,161.03,57.98,340.391,590,0.9966,0.0011,0.0707,A,253.11,1380.33,0.3600571322113892,Medium Risk
45,1463814,BEVERAGES,94214.0,240.96,203.47,1731.0,391,0.6605,0.0011,0.0718,A,888.27,2574.96,0.84441401062417,Medium Risk
44,1751174,PRODUCE,93558.64,159.11,72.31,404.316,588,0.9932,0.001,0.0728,A,315.67,1429.46,0.45446546414430267,Medium Risk
45,1695835,PRODUCE,89800.157,152.2,67.66,591.311,590,0.9966,0.001,0.0738,A,295.36,1360.79,0.44454664914586073,Medium Risk
44,1473478,PRODUCE,89266.53,153.64,74.79,431.369,581,0.9814,0.001,0.0748,A,326.49,1401.99,0.48678729497526696,Medium Risk
44,1463814,BEVERAGES,89239.0,230.0,136.78,1085.0,388,0.6554,0.001,0.0758,A,597.1,2207.08,0.5946956521739131,Medium Risk
49,1427659,DAIRY,88472.0,154.67,32.72,266.0,572,0.9662,0.001,0.0768,A,142.84,1225.54,0.21154716493179027,Medium Risk
44,819932,BEVERAGES,87354.0,167.67,102.6,925.0,521,0.8801,0.001,0.0778,A,447.88,1621.54,0.6119162640901772,Medium Risk
44,364738,BEVERAGES,87327.0,148.01,92.49,908.0,590,0.9966,0.001,0.0788,A,403.77,1439.85,0.6248902101209378,Medium Risk
44,1333307,BREAD/BAKERY,86362.0,161.73,50.71,337.0,534,0.902,0.001,0.0797,A,221.38,1353.46,0.31354727014159406,Medium Risk
44,1473393,PRODUCE,85945.91,145.67,45.3,296.829,590,0.9966,0.001,0.0807,A,197.77,1217.47,0.31097686551795156,Medium Risk
45,1047679,BEVERAGES,85678.0,145.46,111.25,1121.0,589,0.9949,0.001,0.0817,A,485.66,1503.91,0.7648150694348962,Medium Risk
45,2042941,BEVERAGES,85322.0,387.83,219.94,1918.0,220,0.3716,0.001,0.0826,A,960.16,3674.96,0.5671041435680582,Medium Risk
49,1473428,PRODUCE,84394.118,143.53,60.29,361.86,588,0.9932,0.0009,0.0836,A,263.21,1267.9,0.4200515571657493,Medium Risk
49,364738,BEVERAGES,84233.0,142.77,90.71,751.0,590,0.9966,0.0009,0.0845,A,396.0,1395.38,0.635357568116551,Medium Risk
45,2042947,BEVERAGES,83295.0,371.85,266.95,2275.0,224,0.3784,0.0009,0.0854,A,1165.38,3768.35,0.717897001479091,Medium Risk
45,1427659,DAIRY,83238.0,143.27,45.77,294.0,581,0.9814,0.0009,0.0864,A,199.8,1202.67,0.3194667411181685,Medium Risk
47,1503847,PRODUCE,83164.348,141.68,56.14,356.786,587,0.9916,0.0009,0.0873,A,245.1,1236.84,0.39624505928853754,Medium Risk
49,1503847,PRODUCE,82092.274,139.38,51.29,371.31,589,0.9949,0.0009,0.0882,A,223.9,1199.53,0.367986798679868,Medium Risk
45,265559,GROCERY I,81822.0,138.68,501.75,12228.0,590,0.9966,0.0009,0.0891,A,2190.4,3161.17,3.6180415344678396,High Risk
49,1473410,PRODUCE,80878.146,137.08,44.22,307.0,590,0.9966,0.0009,0.0901,A,193.06,1152.63,0.32258535161949226,Medium Risk
47,2042947,BEVERAGES,80385.0,357.27,290.75,2157.0,225,0.3801,0.0009,0.091,A,1269.27,3770.14,0.8138102835390602,Medium Risk
49,1463814,BEVERAGES,79953.0,207.67,107.85,999.0,385,0.6503,0.0009,0.0918,A,470.83,1924.53,0.5193335580488275,Medium Risk
49,1463993,BEVERAGES,79672.0,135.04,51.64,391.0,590,0.9966,0.0009,0.0927,A,225.45,1170.71,0.3824052132701422,Medium Risk
44,2042947,BEVERAGES,78035.0,346.82,251.9,1906.0,225,0.3801,0.0009,0.0936,A,1099.66,3527.42,0.7263133613978433,Medium Risk
47,2006812,BEVERAGES,78000.0,234.23,230.56,3150.0,333,0.5625,0.0009,0.0945,A,1006.52,2646.16,0.9843316398411818,Medium Risk
44,1686656,PRODUCE,77519.0,131.39,42.13,355.0,590,0.9966,0.0009,0.0954,A,183.94,1103.65,0.32064845117588864,Medium Risk
45,1503847,PRODUCE,77313.46399999999,131.71,182.72,3130.176,587,0.9916,0.0009,0.0962,A,797.66,1719.63,1.3872902589021334,High Risk
45,1751174,PRODUCE,77252.31,132.06,52.78,345.559,585,0.9882,0.0009,0.0971,A,230.4,1154.79,0.39966681811297894,Medium Risk
49,2042941,BEVERAGES,76940.0,334.52,164.87,1075.0,230,0.3885,0.0009,0.098,A,719.76,3061.41,0.49285543465263665,Medium Risk
44,1239897,POULTRY,76539.22,130.17,48.08,288.971,588,0.9932,0.0009,0.0988,A,209.89,1121.07,0.3693631405085657,Medium Risk
44,1473428,PRODUCE,76012.238,129.71,52.55,303.218,586,0.9899,0.0009,0.0997,A,229.39,1137.38,0.40513453087657075,Medium Risk
45,314384,GROCERY I,75766.0,128.42,47.73,344.0,590,0.9966,0.0008,0.1005,A,208.38,1107.3,0.37167107927114157,Medium Risk
44,1427659,DAIRY,75712.0,131.67,42.69,286.0,575,0.9713,0.0008,0.1014,A,186.36,1108.07,0.3242196400091137,Medium Risk
47,1695835,PRODUCE,75054.631,127.21,55.35,375.264,590,0.9966,0.0008,0.1022,A,241.61,1132.09,0.43510730288499333,Medium Risk
44,1473479,PRODUCE,74959.479,127.27,61.19,387.033,589,0.9949,0.0008,0.103,A,267.11,1157.97,0.48078887404730103,Medium Risk
44,1473482,PRODUCE,74468.504,126.22,48.15,303.986,590,0.9966,0.0008,0.1039,A,210.21,1093.74,0.3814767865631437,Medium Risk
47,1309297,BEVERAGES,74435.0,147.1,191.57,3943.0,506,0.8547,0.0008,0.1047,A,836.31,1866.04,1.30231135282121,High Risk
44,1309297,BEVERAGES,74201.0,144.92,176.39,1648.0,512,0.8649,0.0008,0.1055,A,770.04,1784.5,1.2171542920231853,High Risk
45,1584575,PRODUCE,74172.0,125.93,68.34,409.0,589,0.9949,0.0008,0.1064,A,298.35,1179.85,0.5426824426268562,Medium Risk
49,1463992,BEVERAGES,73840.0,125.15,42.25,259.0,590,0.9966,0.0008,0.1072,A,184.46,1060.53,0.337594886136636,Medium Risk
47,1427659,DAIRY,73393.0,127.64,41.65,313.0,575,0.9713,0.0008,0.108,A,181.83,1075.31,0.3263083672829834,Medium Risk
49,1642400,PRODUCE,73053.677,123.82,53.81,385.124,590,0.9966,0.0008,0.1088,A,234.91,1101.65,0.4345824584073656,Medium Risk
