store_nbr,item_nbr,family,total_demand,average_daily_demand,demand_std,max_daily_demand,active_sales_days,sales_frequency,demand_share,cumulative_demand_share,abc_class,safety_stock,reorder_point,coefficient_of_variation,replenishment_risk
45,559870,GROCERY I,67276.0,114.03,852.85,20748.0,590,0.9966,0.0008,0.1182,A,3723.09,4521.28,7.479172147680435,High Risk
44,856688,GROCERY I,10558.0,285.35,402.96,1641.0,37,0.0625,0.0001,0.5706,A,1759.13,3756.59,1.4121605046434202,High Risk
44,856687,GROCERY I,8914.0,240.92,372.23,1571.0,37,0.0625,0.0001,0.6257,A,1624.98,3311.42,1.5450356964967626,High Risk
45,856688,GROCERY I,8106.0,225.17,389.11,1745.0,36,0.0608,0.0001,0.6574,A,1698.67,3274.84,1.7280721232846294,High Risk
45,265559,GROCERY I,81822.0,138.68,501.75,12228.0,590,0.9966,0.0009,0.0891,A,2190.4,3161.17,3.6180415344678396,High Risk
45,856687,GROCERY I,8467.0,217.1,346.63,1596.0,39,0.0659,0.0001,0.6429,A,1513.21,3032.93,1.5966374942422847,High Risk
49,856687,GROCERY I,7299.0,221.18,306.5,1226.0,33,0.0557,0.0001,0.6907,A,1338.03,2886.3,1.3857491635771768,High Risk
47,1430040,BEVERAGES,106783.0,184.11,296.34,6932.0,580,0.9797,0.0012,0.0552,A,1293.66,2582.42,1.6095812286133286,High Risk
47,856687,GROCERY I,6329.0,186.15,279.33,1284.0,34,0.0574,0.0001,0.7359,A,1219.4,2522.43,1.5005640612409346,High Risk
49,354964,GROCERY I,8983.0,169.49,289.28,1495.0,53,0.0895,0.0001,0.623,A,1262.83,2449.26,1.706767360906248,High Risk
49,856688,GROCERY I,6324.0,158.1,291.55,1697.0,40,0.0676,0.0001,0.7359,A,1272.75,2379.45,1.8440860215053765,High Risk
45,354964,GROCERY I,5804.0,141.56,293.06,1480.0,41,0.0693,0.0001,0.762,A,1279.37,2270.3,2.070217575586324,High Risk
45,105574,GROCERY I,19700.0,33.73,456.46,11032.0,584,0.9865,0.0002,0.3777,A,1992.66,2228.79,13.532760154165432,High Risk
44,2054580,BEVERAGES,19856.0,138.85,285.05,2590.0,143,0.2416,0.0002,0.3755,A,1244.39,2216.36,2.0529348217500902,High Risk
44,354964,GROCERY I,7868.0,131.13,279.75,1671.0,60,0.1014,0.0001,0.6685,A,1221.24,2139.17,2.1333790894532143,High Risk
45,2006812,BEVERAGES,59401.0,181.65,192.75,2931.0,327,0.5524,0.0007,0.1324,A,841.44,2113.02,1.0611065235342692,High Risk
47,364738,BEVERAGES,97773.0,165.72,196.68,2997.0,590,0.9966,0.0011,0.0653,A,858.59,2018.61,1.1868211440984795,High Risk
47,2013931,BEVERAGES,20688.0,103.96,287.01,3952.0,199,0.3361,0.0002,0.3662,A,1252.94,1980.66,2.7607733743747596,High Risk
45,2027559,BEVERAGES,15242.0,96.47,298.76,3012.0,158,0.2669,0.0002,0.4521,A,1304.25,1979.53,3.0969213226909917,High Risk
47,1463810,BEVERAGES,58686.0,156.08,200.67,2102.0,376,0.6351,0.0007,0.1343,A,876.03,1968.58,1.2856868272680675,High Risk
44,2027559,BEVERAGES,12098.0,78.56,313.68,3556.0,154,0.2601,0.0001,0.5221,A,1369.36,1919.27,3.9928716904276986,High Risk
47,1309297,BEVERAGES,74435.0,147.1,191.57,3943.0,506,0.8547,0.0008,0.1047,A,836.31,1866.04,1.30231135282121,High Risk
44,1309297,BEVERAGES,74201.0,144.92,176.39,1648.0,512,0.8649,0.0008,0.1055,A,770.04,1784.5,1.2171542920231853,High Risk
47,2060910,BEVERAGES,7800.0,114.71,224.58,1474.0,68,0.1149,0.0001,0.672,A,980.42,1783.36,1.9578066428384624,High Risk
47,856688,GROCERY I,5081.0,149.44,162.68,636.0,34,0.0574,0.0001,0.7988,A,710.17,1756.26,1.0885974304068524,High Risk
45,1503847,PRODUCE,77313.46399999999,131.71,182.72,3130.176,587,0.9916,0.0009,0.0962,A,797.66,1719.63,1.3872902589021334,High Risk
47,2027559,BEVERAGES,15120.0,92.76,237.31,1682.0,163,0.2753,0.0002,0.4548,A,1035.96,1685.28,2.5583225528244933,High Risk
45,364606,GROCERY I,67614.0,114.6,165.07,4023.0,590,0.9966,0.0008,0.1166,A,720.6,1522.8,1.4404013961605584,High Risk
45,2058764,BEVERAGES,9776.0,88.87,201.68,870.0,110,0.1858,0.0001,0.5945,A,880.41,1502.52,2.269382243726792,High Risk
45,929627,GROCERY I,12926.0,22.02,284.79,6909.0,587,0.9916,0.0001,0.5011,A,1243.25,1397.39,12.93324250681199,High Risk
45,1924662,CLEANING,7290.0,93.46,161.57,697.0,78,0.1318,0.0001,0.6915,A,705.33,1359.56,1.7287609672587203,High Risk
47,1047793,BEVERAGES,8127.0,68.87,191.0,1721.0,118,0.1993,0.0001,0.6564,A,833.79,1315.9,2.773341077392188,High Risk
45,1157329,GROCERY I,37738.0,63.96,197.73,2762.0,590,0.9966,0.0004,0.2224,A,863.18,1310.92,3.091463414634146,High Risk
47,906979,BEVERAGES,16855.0,31.5,248.86,5755.0,535,0.9037,0.0002,0.4221,A,1086.39,1306.92,7.900317460317461,High Risk
44,1074327,BEVERAGES,47951.0,105.62,129.47,2013.0,454,0.7669,0.0005,0.1723,A,565.2,1304.54,1.2258095057754212,High Risk
44,1037857,BEVERAGES,53947.0,94.15,131.12,1664.0,573,0.9679,0.0006,0.1514,A,572.39,1231.43,1.3926712692511949,High Risk
45,1047690,BEVERAGES,58976.0,102.92,105.35,2323.0,573,0.9679,0.0007,0.133,A,459.88,1180.36,1.023610571317528,High Risk
44,1428328,BEVERAGES,54958.0,93.15,113.5,1826.0,590,0.9966,0.0006,0.1483,A,495.48,1147.53,1.2184648416532473,High Risk
49,2027559,BEVERAGES,11444.0,67.32,154.53,841.0,170,0.2872,0.0001,0.5429,A,674.59,1145.81,2.295454545454546,High Risk
45,2058895,BEVERAGES,6819.0,66.2,155.62,748.0,103,0.174,0.0001,0.711,A,679.35,1142.78,2.3507552870090636,High Risk
47,2061033,BEVERAGES,5895.0,86.69,116.17,752.0,68,0.1149,0.0001,0.7573,A,507.15,1113.99,1.340062290921675,High Risk
47,1157329,GROCERY I,35325.0,60.08,137.65,1795.0,588,0.9932,0.0004,0.2367,A,600.93,1021.46,2.2911118508655126,High Risk
45,564534,GROCERY I,31361.0,53.24,147.54,3471.0,589,0.9949,0.0004,0.2609,A,644.09,1016.8,2.7712246431254695,High Risk
44,257847,BEVERAGES,31263.0,59.32,134.25,3009.0,527,0.8902,0.0004,0.2623,A,586.05,1001.31,2.2631490222521915,High Risk
47,699686,MEATS,45715.61,81.06,99.11,464.388,564,0.9527,0.0005,0.1834,A,432.64,1000.04,1.2226745620528003,High Risk
44,265559,GROCERY I,43447.0,74.65,104.36,2111.0,582,0.9831,0.0005,0.1974,A,455.57,978.13,1.3979906229068988,High Risk
45,2011328,GROCERY I,11585.0,19.87,189.91,4150.0,583,0.9848,0.0001,0.5375,A,829.04,968.14,9.557624559637643,High Risk
45,170791,GROCERY I,36465.0,64.2,117.17,1107.0,568,0.9595,0.0004,0.2299,A,511.49,960.88,1.8250778816199376,High Risk
47,464374,BEVERAGES,45989.0,79.02,90.93,1282.0,582,0.9831,0.0005,0.1818,A,396.96,950.1,1.1507213363705393,High Risk
44,1964739,BEVERAGES,33016.0,79.37,82.82,671.0,416,0.7027,0.0004,0.2501,A,361.53,917.09,1.0434673050270882,High Risk
47,2054580,BEVERAGES,5415.0,48.35,128.94,1205.0,112,0.1892,0.0001,0.7831,A,562.9,901.33,2.6668045501551187,High Risk
49,1109116,BEVERAGES,37114.0,64.32,102.08,2354.0,577,0.9747,0.0004,0.2241,A,445.65,895.91,1.5870646766169156,High Risk
47,1239876,POULTRY,29520.533,66.04,97.9,510.892,447,0.7551,0.0003,0.2797,A,427.36,889.65,1.4824348879466989,High Risk
45,1114566,BEVERAGES,28767.0,55.21,114.91,1275.0,521,0.8801,0.0003,0.2852,A,501.66,888.16,2.08132584676689,High Risk
44,906979,BEVERAGES,24659.0,45.0,127.0,2091.0,548,0.9257,0.0003,0.3212,A,554.4,869.39,2.8222222222222224,High Risk
25,418235,BEVERAGES,36829.0,73.81,79.73,771.0,499,0.8429,0.0004,0.2266,A,348.04,864.68,1.0802059341552634,High Risk
47,1964739,BEVERAGES,28558.0,70.51,83.01,666.0,405,0.6841,0.0003,0.2862,A,362.39,855.99,1.1772798184654658,High Risk
44,1166474,BEVERAGES,32497.0,56.22,102.62,1550.0,578,0.9764,0.0004,0.2534,A,447.97,841.54,1.825329064389897,High Risk
45,370042,GROCERY I,27003.0,47.88,110.51,2176.0,564,0.9527,0.0003,0.3021,A,482.44,817.59,2.308061821219716,High Risk
44,716250,BEVERAGES,31672.0,58.01,90.11,1531.0,546,0.9223,0.0004,0.2591,A,393.38,799.43,1.553352870194794,High Risk
45,554143,GROCERY I,24418.0,41.74,115.11,2774.0,585,0.9882,0.0003,0.3236,A,502.51,794.69,2.7577862961188306,High Risk
47,1964810,BEVERAGES,17431.0,40.07,112.18,1505.0,435,0.7348,0.0002,0.4115,A,489.74,770.24,2.79960069877714,High Risk
47,633735,MEATS,15946.997,61.57,74.19,433.08,259,0.4375,0.0002,0.4381,A,323.9,754.9,1.204969952899139,High Risk
25,1463810,BEVERAGES,18240.0,57.9,74.28,683.0,315,0.5321,0.0002,0.3996,A,324.25,729.58,1.282901554404145,High Risk
