store_nbr,item_nbr,family,total_demand,average_daily_demand,demand_std,active_sales_days,sales_frequency,coefficient_of_variation,abc_class,safety_stock,reorder_point,replenishment_risk
45,559870,GROCERY I,67276.0,114.03,852.85,590,0.9966,7.479172147680435,A,3723.09,4521.28,High Risk
44,856688,GROCERY I,10558.0,285.35,402.96,37,0.0625,1.4121605046434202,A,1759.13,3756.59,High Risk
44,856687,GROCERY I,8914.0,240.92,372.23,37,0.0625,1.5450356964967626,A,1624.98,3311.42,High Risk
45,856688,GROCERY I,8106.0,225.17,389.11,36,0.0608,1.7280721232846294,A,1698.67,3274.84,High Risk
45,265559,GROCERY I,81822.0,138.68,501.75,590,0.9966,3.6180415344678396,A,2190.4,3161.17,High Risk
45,856687,GROCERY I,8467.0,217.1,346.63,39,0.0659,1.5966374942422847,A,1513.21,3032.93,High Risk
49,856687,GROCERY I,7299.0,221.18,306.5,33,0.0557,1.3857491635771768,A,1338.03,2886.3,High Risk
47,1430040,BEVERAGES,106783.0,184.11,296.34,580,0.9797,1.6095812286133286,A,1293.66,2582.42,High Risk
47,856687,GROCERY I,6329.0,186.15,279.33,34,0.0574,1.5005640612409346,A,1219.4,2522.43,High Risk
49,354964,GROCERY I,8983.0,169.49,289.28,53,0.0895,1.706767360906248,A,1262.83,2449.26,High Risk
49,856688,GROCERY I,6324.0,158.1,291.55,40,0.0676,1.8440860215053765,A,1272.75,2379.45,High Risk
45,354964,GROCERY I,5804.0,141.56,293.06,41,0.0693,2.070217575586324,A,1279.37,2270.3,High Risk
45,105574,GROCERY I,19700.0,33.73,456.46,584,0.9865,13.532760154165432,A,1992.66,2228.79,High Risk
44,2054580,BEVERAGES,19856.0,138.85,285.05,143,0.2416,2.0529348217500902,A,1244.39,2216.36,High Risk
44,354964,GROCERY I,7868.0,131.13,279.75,60,0.1014,2.1333790894532143,A,1221.24,2139.17,High Risk
45,2006812,BEVERAGES,59401.0,181.65,192.75,327,0.5524,1.0611065235342692,A,841.44,2113.02,High Risk
47,364738,BEVERAGES,97773.0,165.72,196.68,590,0.9966,1.1868211440984795,A,858.59,2018.61,High Risk
