date,family,demand,data_type,best_model
2016-01-01,GROCERY I,3247.0,Actual,Historical
2016-01-01,BEVERAGES,5104.0,Actual,Historical
2016-01-01,PRODUCE,2384.509,Actual,Historical
2016-01-02,GROCERY I,59749.726,Actual,Historical
2016-01-02,BEVERAGES,60006.0,Actual,Historical
2016-01-02,PRODUCE,45220.239,Actual,Historical
2016-01-03,GROCERY I,67611.628,Actual,Historical
2016-01-03,BEVERAGES,69976.0,Actual,Historical
2016-01-03,PRODUCE,56255.917,Actual,Historical
2016-01-04,GROCERY I,50436.0,Actual,Historical
2016-01-04,BEVERAGES,47246.0,Actual,Historical
2016-01-04,PRODUCE,43430.641,Actual,Historical
2016-01-05,GROCERY I,41044.0,Actual,Historical
2016-01-05,BEVERAGES,36814.0,Actual,Historical
2016-01-05,PRODUCE,34460.84,Actual,Historical
2016-01-06,GROCERY I,41298.0,Actual,Historical
2016-01-06,BEVERAGES,35557.0,Actual,Historical
2016-01-06,PRODUCE,51893.605,Actual,Historical
2016-01-07,GROCERY I,30432.0,Actual,Historical
2016-01-07,BEVERAGES,27551.0,Actual,Historical
2016-01-07,PRODUCE,27638.843,Actual,Historical
2016-01-08,GROCERY I,37328.0,Actual,Historical
2016-01-08,BEVERAGES,33523.0,Actual,Historical
2016-01-08,PRODUCE,32981.797,Actual,Historical
2016-01-09,GROCERY I,51137.0,Actual,Historical
2016-01-09,BEVERAGES,51154.0,Actual,Historical
2016-01-09,PRODUCE,43531.226,Actual,Historical
2016-01-10,GROCERY I,58807.0,Actual,Historical
2016-01-10,BEVERAGES,60526.0,Actual,Historical
2016-01-10,PRODUCE,49562.514,Actual,Historical
2016-01-11,GROCERY I,33344.0,Actual,Historical
2016-01-11,BEVERAGES,31358.0,Actual,Historical
2016-01-11,PRODUCE,30866.202,Actual,Historical
2016-01-12,GROCERY I,29220.0,Actual,Historical
2016-01-12,BEVERAGES,26151.0,Actual,Historical
2016-01-12,PRODUCE,26593.564,Actual,Historical
2016-01-13,GROCERY I,31288.0,Actual,Historical
2016-01-13,BEVERAGES,26628.0,Actual,Historical
2016-01-13,PRODUCE,42447.968,Actual,Historical
2016-01-14,GROCERY I,24403.0,Actual,Historical
2016-01-14,BEVERAGES,22884.0,Actual,Historical
2016-01-14,PRODUCE,23910.444,Actual,Historical
2016-01-15,GROCERY I,32569.0,Actual,Historical
2016-01-15,BEVERAGES,31867.0,Actual,Historical
2016-01-15,PRODUCE,30343.082,Actual,Historical
2016-01-16,GROCERY I,49270.0,Actual,Historical
2016-01-16,BEVERAGES,50817.0,Actual,Historical
2016-01-16,PRODUCE,43085.851,Actual,Historical
2016-01-17,GROCERY I,54505.0,Actual,Historical
2016-01-17,BEVERAGES,57263.0,Actual,Historical
2016-01-17,PRODUCE,47301.875,Actual,Historical
2016-01-18,GROCERY I,33185.0,Actual,Historical
2016-01-18,BEVERAGES,31626.0,Actual,Historical
2016-01-18,PRODUCE,31712.189,Actual,Historical
2016-01-19,GROCERY I,28191.0,Actual,Historical
2016-01-19,BEVERAGES,27402.0,Actual,Historical
2016-01-19,PRODUCE,26132.316,Actual,Historical
2016-01-20,GROCERY I,32701.0,Actual,Historical
2016-01-20,BEVERAGES,28019.0,Actual,Historical
2016-01-20,PRODUCE,45108.06,Actual,Historical
2016-01-21,GROCERY I,25215.0,Actual,Historical
2016-01-21,BEVERAGES,23019.0,Actual,Historical
2016-01-21,PRODUCE,23883.123,Actual,Historical
2016-01-22,GROCERY I,31439.0,Actual,Historical
2016-01-22,BEVERAGES,29309.0,Actual,Historical
2016-01-22,PRODUCE,29921.781,Actual,Historical
2016-01-23,GROCERY I,45555.0,Actual,Historical
2016-01-23,BEVERAGES,46259.0,Actual,Historical
